Code,Description,FirearmType
1975,.303 BRIT IMP,00
29,.303 BRITISH,00
1963,.303 BRITISH,00
3638,.303 BRITISH,00
3531,.303 BRITISH,00
3394,.303 EPPS,00
2620,.303 MAG,00
272,.303 SAVAGE,00
3439,.303 SAVAGE / 12GA,00
3215,.303/08 JOUBERT,00
3124,.307 GNR,00
1001,.307 WIN,00
1927,.308 NETGEWEER,00
271,.308 NORMA MAG,00
3018,.308 WIN,00
3014,.308 WIN,00
1502,.308 WIN,00
30,.308 WIN,00
2127,.308 WIN (BLANK),00
3172,.308 WIN / 12GA,00
3005,.308 WIN MATCH,00
1507,.309 JDJ,00
3463,.309 JDJ,00
3613,.30X47 LAPUA,00
3645,.31 VOLCANIC,00
2154,.310 CADET,00
588,.310 HUMANE KILLER,00
3283,.310 REM,00
221,.310 REM,00
32,.318 RIMLESS NITRO EXP,00
2165,.32 (BLANK),00
506,.32 ACP,00
2239,.32 ACP,00
3484,.32 CK (HUMANE KILLER),00
2616,.32 EXTRA LONG,00
2124,.32 EXTRA SHORT RIM,00
2613,.32 H&R MAG,00
3013,.32 LARGO,00
1554,.32 LONG,00
3235,.32 LONG COLT,00
2614,.32 LONG RIFLE (LR),00
2272,.32 PINFIRE,00
33,.32 REM,00
1770,.32 RIM-FIRE,00
3218,.32 RIM-FIRE,00
1920,.32 S&W (.32 SHORT),00
2163,.32 S&W (BLANK),00
3216,.32 S&W LONG,00
1896,.32 S&W LONG,00
3251,.32 S&W LONG / 20GA,00
3281,.32 WIN SPL (WS),00
1564,.32 WIN SPL (WS),00
3272,.32-20 MARLIN,00
1697,.32-20 WIN (WCF),00
288,.32-20 WIN (WCF),00
1958,.32-20 WIN (WCF),00
435,.320 REVOLVER,00
3511,.320 REVOLVER,00
2553,.320 RF,00
3404,.325 WIN SHORT MAG,00
2082,.325 WIN SHORT MAG,00
3468,.327 FED MAG,00
3618,.33 NOSLER,00
34,.33 WIN,00
3518,.33 XC,00
1842,.330 DAKOTA,00
3127,.330 MCFARLANE MAG,00
35,.333 JEFFREY,00
3605,.333 JEFFREY / 12GA,00
3403,.338 ALLEN MAGNUM,00
3723,.338 ARC,00
2423,.338 BLASER MAG,00
3402,.338 CHEYTAC,00
2979,.338 EDGE,00
3596,.338 ENABELR,00
3451,.338 ENABLER,00
3503,.338 FEDERAL,00
3131,.338 FEDERAL,00
2077,.338 GNR,00
1741,.338 JDJ,00
2327,.338 LAPUA (BLANK),00
3103,.338 LAPUA IMPROVED,00
1878,.338 LAPUA MAG,00
3282,.338 LAPUA MAG,00
2528,.338 NORMA MAG,00
2266,.338 RCM,00
1935,.338 REM ULTRA MAG,00
1915,.338 SABI,00
3492,.338 SHERMAN SHORT(.338 SS),00
1914,.338 ULTRA MAG,00
2561,.338 UMFEZI,00
36,.338 WIN MAG,00
3578,.338 WIN MAG / 12GA,00
3483,.338-.375 H&H ACKLEY IMP,00
1612,.338-06(.338-06 A-SQUARE),00
2345,.338-300 H&H MAG,00
3679,.338-300 PRC,00
3507,.338-300 WSM,00
1626,.338-378 WBY MAG,00
37,.340 WBY MAG,00
38,.348 WIN,00
39,.35 REM (8.9X49MM),00
507,.35 S&W,00
2081,.35 WHELEN,00
3708,.35 WHELEN,00
3701,.35 WINCHESTER (WCF),00
2402,.35/284 WIN,00
2350,.350 GNR,00
3467,.350 LEGEND,00
3571,.350 LEGEND,00
3710,.350 LEGEND,00
297,.350 REM MAG,00
2535,.350 RIGBY MAG,00
96,.351 WIN SELF-LOADING,00
1538,.356 WIN,00
2367,.356 WIN,00
2680,.357 AUTO MAG,00
3176,.357 HERRETT,00
158,.357 MAG,00
406,.357 MAG,00
1797,.357 MAG,00
2114,.357 MAG (BLANK),00
3726,.357 MAG/9MM PAR,00
2353,.357 MAXIMUM,00
2247,.357 MAXIMUM,00
909,.357 MAXIMUM,00
1728,.357 SIG,00
2356,.357 SIG,00
3508,.358 JDJ,00
1989,.358 NORMA MAG,00
3418,.358 ROOKIE,00
40,.358 WIN,00
41,.360 DAN WESSON (DW),00
2048,.360 DAN WESSON (DW),00
2223,.360 EXPRESS,00
659,.360 NIT EXP / 16GA,00
3671,.360 NITRO FOR BP,00
3190,.360 NO 5,00
2063,.360 NO 5 ROOK,00
3697,.366 GNR,00
42,.369 NIT EXP (PURDEY),00
3519,.37 XC,00
2303,.370 SAKO MAG,00
3132,.375 ACKLEY IMPROVED,00
3039,.375 ALLEN MAGNUM,00
3401,.375 BELTED RIMLESS MAG NE,00
2424,.375 BLASER MAG,00
3006,.375 CHEYTAC,00
2558,.375 DAKOTA,00
3595,.375 ENABELR,00
3195,.375 EXPRESS,00
2315,.375 FLANGED NITRO EXP,00
2944,.375 H&H FLANGED MAG,00
283,.375 H&H MAG (9.5X72B),00
821,.375 H&H MAG / 12GA,00
819,.375 H&H MAG / 20GA,00
1835,.375 H&H MAG /.450 ACK,00
3533,.375 HELLFIRE,00
3151,.375 JDJ,00
3150,.375 JDJ,00
3608,.375 MAG,00
3584,.375 RAPTOR,00
2009,.375 REM ULTRA MAG,00
3386,.375 RIMLESS NE,00
2128,.375 RUGER,00
3506,.375 SM,00
3061,.375 SNIPE TAC,00
284,.375 WBY MAG,00
3545,.375 WHELEN AI,00
3020,.375 WIN,00
3622,.375 WIN SHORT MAG,00
3515,.375 XC,00
3448,.375-.300 WIN SHORT MAG(WSM),00
