Code,Description
4056,DANIEL DEFENSE
1782,DANZIG
1074,DARNE
4089,DASHPROD
483,DAVENPORT
1625,DAVID MCKAY BROWN
4442,DAVIDE PEDERSOLI
4349,DAVIDSON FIREARMS CO
2,DAVIS
2163,DAW (G H DAW & CO)
2238,DAYSTATE
3193,DE MIGUEL LARRANAGA
2753,DE MUTZIG
2606,DEANE
502,DEANE & ADAMS
4337,DEFENCEPORT
2445,DEFENDER
4069,DEFIANCE
3316,DEGTYAREV
4449,DEL-TON
4452,DEL-TON INC
2701,DELCOUR
283,DELU
3376,DELVIGNE
3567,DEMON
2580,DENTON & KENNEL
593,DERINGER
4139,DERYA
1408,DESERT EAGLE
1130,DESERT INDUSTRIES INC.
4038,DESERT TACTICAL ARMS
4429,DESERT TECH
4433,DESPERADO
2352,DESTROYER
449,DETONICS
161,DEUTSCHE WERKE
4090,DIAMONDBACK (DB)
924,DIANA
1723,DIARM
228,DICKINSON
1326,DIEMACO
4387,DIORIO
4220,DISSIDENT ARMS
963,DIXIE GUN WORKS
2324,DLASK ARMS CORP (DAC)
4088,DM-4
2988,DOCKENDORFF
4108,DOLPHIN
2635,DONAR
2376,DONCKIER
4278,DORLEAC & DORLEAC
72,DORNAUS & DIXON
4066,DOUBLESTAR
1759,DOUGLAS
3315,DPM
3856,DPMS
1327,DRAGUNOV
2440,DRESSE LALOUX & CO
95,DREYSE
1328,DRULOV
3319,DSHK
3802,DSR PRECISION
3975,DUBIEL ARMS
1330,DUMOULIN
306,DUO
2757,DUPOMMIER
1339,DUQUE
2519,DURS EGG
4287,DUTCH LONG ARMS
3550,DUVALL
705,DYNAMIT
1928,E & G HIGHAM
2846,E A ARMOURY CORP
2167,E ALLEN
2658,E CONTENTO
3028,E JAMES
1692,E M REILLY & CO
4426,E SALVINELLI
2122,E WHISTLER
678,E. ARTHUR BROWN
1844,E. CHAMBERLAIN
4540,E.H.PENZER & CO
2183,E.KOHLER
4152,E.L. KARABINER
4435,E.PIERPOINT
4363,E.SCHMIDT & HABERMANN
180,EAGLE ARMS
4240,EAGLE BARREL
385,EASTERN ARMS
239,EATONIA
2911,EBERSWALDE C KRUMMEL
1904,EBRALL BROTHERS SAMUEL
2778,EC GREEN
3620,EC HODGES
205,ECHASA
3496,ECHO
3211,ED BROWN
4196,EDC TACTICAL
1466,EDDYSTONE
4279,EDGAR KIESS
4307,EDGAR PERKS
4144,EDOUARD DE BEAUMONT
1357,EDUARD KETTNER-KOLN
1965,EDWARDS
2879,EDWINSON GREEN & SON
4325,EGE RT 25
1751,EGO
3111,EHRHARDT LAUF (HEINRICH)
359,EIBAR
154,EIG
4444,EKOL
4050,EKSEN ARMS
4331,EL CASCO
4541,EL CHIMBO
2494,EL FAISAN
2283,EL RENO
249,ELEY-KYNOCH
1764,ELG
1334,ELGIN
4130,EMEI
689,EMF CO INC
4532,EMG CUSTOMS
230,EMGE
4216,EMIL BARTSCH
3382,EMIL KECH
2965,EMPIRE ARMS CORP
350,ENFIELD
3334,ENGELBERT CLEVER
4357,ENNIO MATTARELLI
4537,ENOS JAMES & CO
4245,ENTWISTLE
1430,ERA
1690,ERBI
2035,ERFURT
155,ERMA
4246,ERMOX
879,ERNST F BUCHEL
3467,ERNST STEIGLEDER
428,ERRASTI
389,ESCODIN
3816,ESCORT
1433,ESPINGARDA
4528,ESREFOGLU
269,ESSENTIAL ARMS
469,ESSEX
2189,ESTRELLA
